Name,Linkedin,Skills,Education,Experience
"
Bryant Detwiller
",http://www.linkedin.com/pub/bryant-detwiller/1a/855/72b,"
Javascript
Product Marketing
Product Management
Ruby on Rails
Backbone.js
Branding
Business Development
Financial Analysis
Marketing Strategy
iOS Development
",Wharton School,"Founder

 



Employee

Google, 
Vine



Investor

 



Syndicator

 



Incubator

 



Advisor

 



Attorney

 



Board Member

 



Mentor

 



Member

 



Acquired

 



Customer

 "
"
Thor Muller
",http://www.linkedin.com/in/thormuller,"
Product Development
Javascript
Software Development
Ruby on Rails
PHP
Content Creation
HTML5 & CSS3
Agile Product Development
Rapid Prototyping
",University of Iowa,"Founder

Get Satisfaction, 
Original, 
Rubyred Labs



Employee

Frog Design



Investor

 



Syndicator

 



Incubator

 



Advisor

Get Satisfaction, 
Byliner, 
WishPlz



Attorney

 



Board Member

 



Mentor

 



Member

 



Acquired

 



Customer

 "
"
Amit Matani
",https://www.linkedin.com/pub/amit-matani/2/220/148,"
iOS Development
Python
PHP
Javascript
Browser Extensions
Ruby on Rails
Server Deployment & Management
Amazon Web Services
UX
C
Java
Redis
MySQL
Flask
Ruby
Backbone.js
Bower
",University Of Californ...,"Founder

Lookmark, 
Miraphonic



Employee

AngelList, 
Ngmoco, 
HOT or NOT, 
instapaper, 
Movaris



Investor

 



Syndicator

 



Incubator

 



Advisor

 



Attorney

 



Board Member

 



Mentor

 



Member

 



Acquired

 



Customer

 "
"
Josh Weinstein
",http://www.linkedin.com/in/joshrweinstein,"
Chess
Mandarin Chinese Proficiency
Networking
New Ideas
Press Outreach
Product Development
User Experience Design
Blogging
Ruby on Rails
Backbone.js
jQuery
HTML/CSS/PHP/MYSQL
Node.js
Bloomberg
Business Development
HTML
Management
Product Management
Video
",Princeton University,"Founder

YouAreTV, 
Goodcrush



Employee

 



Investor

 



Syndicator

 



Incubator

 



Advisor

Chesscademy



Attorney

 



Board Member

 



Mentor

Founder Institute



Member

 



Acquired

 



Customer

 "
"
Jhony Fung
",http://www.linkedin.com/in/jhonyfung,"
Ruby on Rails
Java
Android
Amazon Web Services
Backbone.js
MongoDB
Javascript
PHP
Symfony
HTML5 & CSS3
Git
SQL
Nginx
",Cornell University,"Founder

Reclip.It, 
CityPockets



Employee

IBM



Investor

 



Syndicator

 



Incubator

 



Advisor

 



Attorney

 



Board Member

 



Mentor

 



Member

 



Acquired

 



Customer

 "
"
Eric Cantor
",http://www.linkedin.com/in/ecantor,"
Product Marketing
Ruby on Rails
Executive Management
HR Management
",Emory University,"Founder

Applab, 
Internet Interstate, 
BuyDomains.com (NameMedia)



Employee

Acumen Fund, 
Verio/NTT, 
Grameen Foundation



Investor

 



Syndicator

 



Incubator

 



Advisor

Farm Hill, 
StoryDesk, 
Karta, 
M-Changa



Attorney

 



Board Member

Decisive



Mentor

 



Member

 



Acquired

 



Customer

 "
"
Eliran Sapir
",http://www.linkedin.com/in/eliransapir,"
Mobile Application Design
Product Development
Product Marketing
Venture Capital
Fundraising
Ruby on Rails
Node.js
PHP
Python
",Boston University,"Founder

Apptopia, 
Dispatch, 
Gpush, 
Tiverias Apps



Employee

GreatPoint Energy, 
Oasys Water, 
Dvtel



Investor

 



Syndicator

 



Incubator

 



Advisor

Expansion Venture Capital, 
Metadata, 
appScatter



Attorney

 



Board Member

Apptopia



Mentor

 



Member

 



Acquired

 



Customer

 "
"
Kenn R
",http://www.linkedin.com/in/kennrodriguez/,"
Objective C
Python
Audio Engineering
Audio Technology
iOS Development
Automated Software Testing
QA
Automation
CSS
Debugging
HTML
Javascript
Ruby on Rails
Microsoft Windows
Networking
",Berklee College of Mus...,"Founder

 



Employee

Apple, 
Gobbler, 
EMI Music, 
Native Instruments North America, 
Capitol Records, 
Avid, 
Double Encore, 
Line 6, 
Propellerhead



Investor

 



Syndicator

 



Incubator

 



Advisor

 



Attorney

 



Board Member

 



Mentor

 



Member

 



Acquired

 



Customer

 "
"
Alec Hartman
",http://www.linkedin.com/in/alechartman,"
Ruby on Rails
CEO
",Emory University,"Founder

DigitalOcean, 
TechDay Events



Employee

 



Investor

 



Syndicator

 



Incubator

 



Advisor

DevWorks Lab, 
Wavicle



Attorney

 



Board Member

 



Mentor

 



Member

 



Acquired

 



Customer

 "
"
Michael Zhang
",http://www.linkedin.com/in/mztwo,"
User Experience Design
Product Management
Apparel Manufacturing
Supply Chain Management
Analytics & Reporting
Finance
Ruby on Rails
",Princeton University,"Founder

Trumaker



Employee

Recyclebank



Investor

 



Syndicator

 



Incubator

 



Advisor

 



Attorney

 



Board Member

 



Mentor

 



Member

 



Acquired

 



Customer

 "
